id,name,value
508809,qkFTZqrVVfAsFBraXOM,976669.11
275429,aPFQXdcjBvJPViKpznYyV,797476.32
555641,buNsqNzETXyCZNAtSiTMUQLwMhwPDDFDdrnZVzeBFRcshvkX,315025.31
120050,UuGwiFlfgEydSrAElhfcln,767715.11
565888,TfjPScWyxvNsOFXChFxSqTEDlpmvfHdLHvGgXuLcfH,875701.2
27745,uOUYsjXQpstb yXhWTqBfKKCmgAHWGZdQMVZSPLWJIaZdmEI,857755.15
43309,JmChBuzbtThhTdcDhToNEGNqFhC,95932.93
753489,bbsVgWZZbTrkxffoYiISoZwMjxCgvjzKFAWjbIvSauvsbToUx,816766.74
591934,wxdcf NpokaxJZlAuD,983185.44
484643,zJxGbvIKMxxQbZCQLebfLIALDvlwjDZQTkTQXD,293438.43
717845,dCDNcCYQkzNqpqZDcMFVFiZuPUkmrzBXNohC,531338.34
648940,SvEnCTXDIkSZnfjzfZbgANeHPksLbQbDUQGbK fZxxIFG,857767.88
907100,RuWBYNDWleghNAWWtpIXqNOTFEIZquOVWalOfNvZbuX,415652.91
653890,qohOoxDjOnDQr vbjAQySBWikLaYXSwkuKGBUVcWVNzNDrkR,604487.89
595453,vPtiOtAlRS,504721.67
234286,eDPHx,39496.02
180871,qIoEFLtjkDsStcwxWx,559872.28
654229,rUsHuIiwcSeIKBtarndvABLtOYqSuqn,17067.82
939939,GoYzRJVUvHZL,55232.74
325310,biKZZ AbafkbtseJgKORj,925966.37
