position,played,points,wins,losses,team_name,id
nan,nan,nan,nan,nan,Newcastle,1
nan,nan,nan,nan,nan,Arsenal,2
nan,nan,nan,nan,nan,Newcastle,3
nan,nan,nan,nan,nan,Newcastle,4
nan,nan,nan,nan,nan,Arsenal,5
nan,nan,nan,nan,nan,Man City,6
nan,nan,nan,nan,nan,Man City,7
nan,nan,nan,nan,nan,Newcastle,8
nan,nan,nan,nan,nan,Man City,9
nan,nan,nan,nan,nan,Man City,10
nan,nan,nan,nan,nan,Arsenal,11
nan,nan,nan,nan,nan,Arsenal,12
nan,nan,nan,nan,nan,Tottenham,13
nan,nan,nan,nan,nan,Chelsea,14
nan,nan,nan,nan,nan,Newcastle,15
nan,nan,nan,nan,nan,Man City,16
nan,nan,nan,nan,nan,Liverpool,17
nan,nan,nan,nan,nan,Arsenal,18
nan,nan,nan,nan,nan,Liverpool,19
nan,nan,nan,nan,nan,Tottenham,20
